               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026722,            0.008967,            0.029844,             0.38126,              0.4398,             0.36428,             0.16641,            0.023878,           0.0070562,            0.030368,            0.009712,            0.009712,            0.009712
                  38,            0.026494,           0.0092656,            0.028953,             0.25954,             0.38278,             0.25151,             0.10715,             0.02796,           0.0073724,            0.040543,            0.009704,            0.009704,            0.009704
                  39,            0.026762,           0.0089181,            0.027445,             0.40684,             0.39546,             0.36322,              0.1886,            0.024256,            0.006947,            0.034167,            0.009696,            0.009696,            0.009696
                  40,             0.02654,           0.0091066,            0.027132,             0.38267,             0.47413,             0.37882,             0.16903,            0.025337,            0.007175,            0.032858,            0.009688,            0.009688,            0.009688
                  41,            0.025991,            0.009039,            0.026735,              0.4107,             0.50461,             0.44691,             0.21315,            0.023522,           0.0070486,            0.026337,             0.00968,             0.00968,             0.00968
                  42,            0.026344,           0.0089895,            0.027719,             0.32751,             0.31984,             0.25832,             0.11711,             0.02829,           0.0076184,            0.036823,            0.009672,            0.009672,            0.009672
                  43,            0.025905,           0.0090723,            0.027412,             0.43742,             0.41679,             0.36493,             0.16023,            0.024671,           0.0070181,            0.037457,            0.009664,            0.009664,            0.009664
                  44,            0.025609,           0.0089069,             0.02707,              0.4178,             0.47836,             0.41505,             0.17979,            0.027006,           0.0073204,            0.027066,            0.009656,            0.009656,            0.009656
                  45,            0.025676,           0.0086057,            0.025837,             0.35662,              0.5191,              0.4116,             0.17847,            0.025207,           0.0070643,            0.030106,            0.009648,            0.009648,            0.009648
                  46,             0.02536,           0.0091925,            0.025379,              0.4388,             0.53242,             0.45424,             0.22524,            0.021941,           0.0070252,            0.025198,             0.00964,             0.00964,             0.00964
                  47,             0.02509,           0.0091861,            0.025625,             0.34366,             0.46571,             0.33242,              0.1508,            0.027166,           0.0073762,            0.037436,            0.009632,            0.009632,            0.009632
                  48,            0.025023,           0.0083287,            0.025637,              0.2127,             0.33206,             0.19454,            0.081329,            0.031228,            0.007761,            0.046094,            0.009624,            0.009624,            0.009624
                  49,            0.025406,           0.0088951,            0.024712,             0.29063,             0.38055,             0.30359,              0.1394,            0.027282,            0.008934,            0.032037,            0.009616,            0.009616,            0.009616
                  50,            0.024786,           0.0087813,            0.025599,             0.38116,             0.50677,             0.44276,             0.20975,            0.022971,           0.0076628,            0.027286,            0.009608,            0.009608,            0.009608
                  51,            0.025141,           0.0088251,            0.025061,             0.30828,             0.42218,             0.31756,             0.13926,            0.027199,           0.0077462,            0.033667,              0.0096,              0.0096,              0.0096
                  52,            0.024774,           0.0088766,            0.024777,             0.42969,             0.46241,             0.43941,             0.21741,            0.022268,           0.0069036,            0.026282,            0.009592,            0.009592,            0.009592
                  53,            0.025241,           0.0087802,             0.02478,             0.43848,             0.50639,             0.46279,              0.2324,            0.022066,           0.0067477,            0.022888,            0.009584,            0.009584,            0.009584
                  54,            0.025354,           0.0087689,            0.023817,             0.47624,             0.51074,             0.52875,             0.26243,            0.021735,           0.0066214,            0.022516,            0.009576,            0.009576,            0.009576
