               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03932,            0.034469,                   0,             0.89236,             0.78026,             0.85766,             0.31999,             0.02898,            0.011661,                   0,            0.009696,            0.009696,            0.009696
                  40,            0.039099,            0.034822,                   0,             0.88606,             0.77317,             0.84892,             0.30855,             0.02939,            0.011563,                   0,            0.009688,            0.009688,            0.009688
                  41,            0.039738,            0.035226,                   0,             0.88086,              0.7629,             0.82587,             0.28717,            0.030197,              0.0117,                   0,             0.00968,             0.00968,             0.00968
                  42,            0.039714,            0.035419,                   0,             0.85968,             0.72546,             0.79496,             0.27217,            0.030653,            0.012078,                   0,            0.009672,            0.009672,            0.009672
                  43,            0.038913,            0.034057,                   0,             0.88268,             0.77552,             0.83208,             0.28641,            0.030054,             0.01133,                   0,            0.009664,            0.009664,            0.009664
                  44,            0.038829,            0.034961,                   0,             0.86199,             0.73486,             0.80198,             0.27483,            0.030303,             0.01194,                   0,            0.009656,            0.009656,            0.009656
                  45,            0.038837,            0.033877,                   0,             0.84141,             0.73471,             0.77775,             0.26496,            0.031016,            0.011638,                   0,            0.009648,            0.009648,            0.009648
                  46,            0.038614,            0.033763,                   0,             0.88257,             0.75627,             0.84132,             0.30719,            0.029234,            0.011938,                   0,             0.00964,             0.00964,             0.00964
                  47,            0.038314,            0.033992,                   0,             0.89626,             0.79316,             0.86079,             0.31845,            0.029026,            0.011416,                   0,            0.009632,            0.009632,            0.009632
                  48,            0.038856,            0.033976,                   0,             0.87186,             0.75726,             0.83012,             0.30738,             0.02945,            0.012228,                   0,            0.009624,            0.009624,            0.009624
                  49,            0.038415,            0.033564,                   0,             0.89077,             0.80645,             0.85428,             0.30896,            0.029313,            0.011157,                   0,            0.009616,            0.009616,            0.009616
                  50,            0.038606,            0.033586,                   0,             0.86215,               0.771,             0.80757,             0.27005,            0.030698,            0.011352,                   0,            0.009608,            0.009608,            0.009608
                  51,             0.03887,            0.033393,                   0,             0.90734,             0.80599,             0.87079,             0.32396,             0.02883,            0.011128,                   0,              0.0096,              0.0096,              0.0096
                  52,             0.03859,            0.034112,                   0,             0.84973,             0.73356,              0.7908,             0.28132,            0.029874,            0.013063,                   0,            0.009592,            0.009592,            0.009592
                  53,            0.038488,            0.034688,                   0,             0.89293,             0.79453,               0.852,             0.30583,            0.029385,            0.011311,                   0,            0.009584,            0.009584,            0.009584
                  54,            0.038715,            0.034458,                   0,             0.87622,             0.77371,             0.81368,              0.2747,            0.030554,            0.011295,                   0,            0.009576,            0.009576,            0.009576
                  55,            0.038321,            0.034113,                   0,              0.8864,             0.77577,             0.83708,              0.2989,             0.02934,            0.011965,                   0,            0.009568,            0.009568,            0.009568
                  56,            0.038394,            0.034068,                   0,             0.87624,              0.7762,             0.82425,             0.28621,            0.030059,            0.011345,                   0,             0.00956,             0.00956,             0.00956
                  57,            0.038117,            0.032828,                   0,             0.90657,              0.8388,             0.88528,             0.32774,            0.028555,            0.010918,                   0,            0.009552,            0.009552,            0.009552
                  58,            0.038078,            0.033081,                   0,             0.89189,             0.79456,             0.85168,             0.30291,            0.029198,            0.011483,                   0,            0.009544,            0.009544,            0.009544
                  59,            0.038125,            0.032662,                   0,             0.90975,             0.81318,             0.87505,             0.32171,            0.028894,            0.011045,                   0,            0.009536,            0.009536,            0.009536
                  60,             0.03777,            0.032879,                   0,             0.90473,             0.81006,             0.86165,             0.30933,            0.029015,            0.011146,                   0,            0.009528,            0.009528,            0.009528
                  61,            0.038055,             0.03322,                   0,             0.90403,             0.80623,             0.86829,             0.31584,            0.028795,            0.011097,                   0,             0.00952,             0.00952,             0.00952
                  62,            0.037711,            0.032092,                   0,             0.86281,             0.72315,             0.80074,             0.27106,            0.030329,            0.012268,                   0,            0.009512,            0.009512,            0.009512
                  63,            0.038433,            0.033797,                   0,             0.89589,             0.80772,             0.85999,             0.30944,            0.029165,            0.011142,                   0,            0.009504,            0.009504,            0.009504
                  64,            0.038144,            0.032555,                   0,             0.89452,               0.807,             0.86428,             0.31498,            0.029077,             0.01105,                   0,            0.009496,            0.009496,            0.009496
                  65,            0.037929,            0.033094,                   0,             0.89639,             0.80671,             0.85917,             0.30374,              0.0292,            0.011137,                   0,            0.009488,            0.009488,            0.009488
                  66,            0.038118,            0.033372,                   0,             0.89466,             0.76464,             0.83507,             0.29457,            0.029857,            0.011755,                   0,             0.00948,             0.00948,             0.00948
                  67,            0.038409,            0.033214,                   0,              0.9043,             0.82782,             0.87708,             0.32379,            0.028756,            0.010962,                   0,            0.009472,            0.009472,            0.009472
                  68,            0.037665,            0.033952,                   0,             0.91329,              0.8028,             0.86759,             0.31747,            0.028794,            0.011243,                   0,            0.009464,            0.009464,            0.009464
                  69,             0.03809,            0.031699,                   0,             0.90744,             0.82984,             0.88459,             0.33405,            0.028249,            0.011063,                   0,            0.009456,            0.009456,            0.009456
                  70,            0.038192,               0.033,                   0,             0.89648,             0.81827,             0.85839,             0.30588,            0.029101,            0.011134,                   0,            0.009448,            0.009448,            0.009448
